''<small>biological</small>  gender''  –  '''lo te seksi'''

''<small>method of</small>  vaccination''  –  '''lo ve jinku'''

''<small>in other</small>  words''  –  '''va&apos;i'''

''%''  –  '''ce&apos;i'''

''&#44; (comma)''  –  '''slaka bu'''

''&apos; (letter)''  –  '''y&apos;y'''

''( (bracket)''  –  '''vei'''

'') (bracket)''  –  '''ve&apos;o'''

''+ (addition operator)''  –  '''su&apos;i'''

''. (symbol)''  –  '''denpa bu'''

''/ (division operator)''  –  '''fe&apos;i'''

''bomb''  –  '''lo jbama'''

''bone''  –  '''lo bongu'''

''boo! (disapproval)''  –  '''i&apos;e nai'''

''book''  –  '''lo cukta'''

''bored''  –  '''lo se tolzdi'''

''boring''  –  '''lo tolzdi'''

''born''  –  '''lo jbena'''

''<small>to be</small> born''  –  '''jbena'''

''<small>to</small> borrow''  –  '''jbera'''

''borrowed''  –  '''lo se jbera'''

''boss''  –  '''lo jatna'''

''both''  –  '''ro lo re'''

''both or none''  –  '''gi&apos;o'''

''both or none''  –  '''go'''

''both or none''  –  '''gu&apos;o'''

''both or none''  –  '''jo'''

''both or none''  –  '''o'''

''bottle''  –  '''lo botpi'''

''bottom''  –  '''lo dizlo'''

''bow of a guitar, stringed musical instrument''  –  '''lo se jgita'''

''box''  –  '''lo tanxe'''

''boy''  –  '''lo nanla'''

''brain''  –  '''lo besna'''

''<small>to</small> brake''  –  '''jabre'''

''branch''  –  '''lo jimca'''

''brass''  –  '''lo lastu'''

''brave''  –  '''lo virnu'''

''bravely done''  –  '''lo se virnu'''

''Brazilian''  –  '''lo brazo'''

''bread''  –  '''lo nanba'''

''<small>to</small> break''  –  '''porpi'''

''breast''  –  '''lo tatru'''

''<small>to</small> breath''  –  '''vasxu'''

''breathed''  –  '''lo se vasxu'''

''bridge''  –  '''lo cripu'''

''bright''  –  '''lo carmi'''

''<small>to</small> bring''  –  '''bevri'''

''bristle of a brush''  –  '''lo te burcu'''

''broad''  –  '''lo ganra'''

''<small>to</small> broadcast''  –  '''cradi'''

''broadcast receiver''  –  '''lo ve cradi'''

''broadcasted''  –  '''lo se cradi'''

''broadcaster''  –  '''lo cradi'''

''broadcasting station''  –  '''lo te cradi'''

''broadly construed''  –  '''do&apos;a'''

''broken''  –  '''lo spofu'''

''broken function''  –  '''lo se spofu'''

''bronze''  –  '''lo ransu'''

''brother''  –  '''lo bruna'''

''brow''  –  '''lo mebri'''

''brown''  –  '''lo bunre'''

''brunet''  –  '''lo brunete'''

''brush''  –  '''lo burcu'''

''<small>to</small> brush against''  –  '''se mosra'''

''bubble in foam''  –  '''lo te fonmo'''

''bucket''  –  '''lo baktu'''

''buckwheat''  –  '''lo xruba'''

''Buddhist''  –  '''lo budjo'''

''<small>to</small> build (form by combining materials)''  –  '''zbasu'''

''building''  –  '''lo dinju'''

''building with a balcony''  –  '''lo se balni'''

''building with a window''  –  '''lo se canko'''

''building with walls''  –  '''lo se bitmu'''

''bulb (of a plant)''  –  '''lo balji'''

''<small>light</small> bulb''  –  '''lo bombila'''

''bullet''  –  '''lo danti'''

''bundle''  –  '''lo bakfu'''

''<small>to</small> burn''  –  '''jelca'''

